Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
28/02/2014	9,09	0,00	0,00 %	8,86	9,14	1.409.900
27/02/2014	9,09	0,40	4,60 %	8,69	9,12	833.100
26/02/2014	8,69	0,03	0,35 %	8,64	8,83	1.661.600
25/02/2014	8,66	-0,13	-1,48 %	8,64	8,74	1.294.100
24/02/2014	8,79	-0,11	-1,24 %	8,70	8,90	1.773.800
21/02/2014	8,90	0,17	1,95 %	8,60	8,94	1.230.600
20/02/2014	8,73	0,04	0,46 %	8,55	8,82	1.260.200
19/02/2014	8,69	0,19	2,24 %	8,45	8,75	1.586.600
18/02/2014	8,50	-0,46	-5,13 %	8,50	8,97	1.708.600
17/02/2014	8,96	-0,35	-3,76 %	8,95	9,30	1.545.700
14/02/2014	9,31	-0,04	-0,43 %	9,23	9,36	1.655.300
13/02/2014	9,35	-0,09	-0,95 %	9,12	9,40	1.469.400
12/02/2014	9,44	-0,04	-0,42 %	9,41	9,54	1.484.900
11/02/2014	9,48	0,17	1,83 %	9,23	9,52	1.375.300
10/02/2014	9,31	-0,16	-1,69 %	9,31	9,45	1.967.900
07/02/2014	9,47	0,20	2,16 %	9,22	9,47	1.686.100
06/02/2014	9,27	0,00	0,00 %	9,20	9,56	1.762.900
05/02/2014	9,27	-0,09	-0,96 %	9,12	9,37	1.186.600
04/02/2014	9,36	0,07	0,75 %	9,12	9,43	1.256.300
03/02/2014	9,29	-0,11	-1,17 %	9,17	9,41	1.692.100


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
31/01/2014	9,40	0,15	1,62 %	9,13	9,51	3.508.300
30/01/2014	9,25	0,05	0,54 %	9,16	9,51	2.143.100
29/01/2014	9,20	0,00	0,00 %	9,15	9,31	1.311.500
28/01/2014	9,20	0,18	2,00 %	9,03	9,33	1.739.300
27/01/2014	9,02	0,06	0,67 %	8,82	9,08	1.555.700
24/01/2014	8,96	0,06	0,67 %	8,80	9,01	1.641.900
23/01/2014	8,90	-0,12	-1,33 %	8,90	9,11	1.426.000
22/01/2014	9,02	0,01	0,11 %	8,97	9,20	1.662.300
21/01/2014	9,01	-0,07	-0,77 %	9,01	9,26	1.346.800
20/01/2014	9,08	-0,07	-0,77 %	9,01	9,24	708.600
17/01/2014	9,15	-0,02	-0,22 %	9,13	9,34	3.816.000
16/01/2014	9,17	-0,40	-4,18 %	9,15	9,75	3.321.800
15/01/2014	9,57	-0,37	-3,72 %	9,46	10,00	3.996.800
14/01/2014	9,94	0,22	2,26 %	9,70	9,94	1.510.200
13/01/2014	9,72	-0,15	-1,52 %	9,71	9,89	1.392.100
10/01/2014	9,87	0,12	1,23 %	9,73	9,89	1.471.900
09/01/2014	9,75	-0,20	-2,01 %	9,70	9,98	2.022.700
08/01/2014	9,95	-0,05	-0,50 %	9,84	10,07	1.416.700
07/01/2014	10,00	-0,22	-2,15 %	9,98	10,40	1.662.200
06/01/2014	10,22	0,10	0,99 %	9,85	10,34	2.469.500
03/01/2014	10,12	0,46	4,76 %	9,61	10,16	6.965.500
02/01/2014	9,66	-0,27	-2,72 %	9,60	9,99	2.635.100


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume

30/12/2013	9,93	-0,18	-1,78 %	9,93	10,22	1.017.400
27/12/2013	10,11	-0,12	-1,17 %	10,11	10,28	832.600
26/12/2013	10,23	-0,12	-1,16 %	10,15	10,44	658.000
23/12/2013	10,35	-0,01	-0,10 %	10,25	10,50	1.173.600
20/12/2013	10,36	0,21	2,07 %	10,05	10,36	1.800.000
19/12/2013	10,15	0,20	2,01 %	9,91	10,15	1.051.400
18/12/2013	9,95	0,07	0,71 %	9,86	10,20	2.881.000
17/12/2013	9,88	-0,16	-1,59 %	9,88	10,17	1.737.100
16/12/2013	10,04	-0,14	-1,38 %	10,01	10,21	1.117.900
13/12/2013	10,18	0,01	0,10 %	10,00	10,21	1.205.400
12/12/2013	10,17	0,10	0,99 %	10,00	10,18	1.105.800
11/12/2013	10,07	-0,19	-1,85 %	10,02	10,29	1.757.300
10/12/2013	10,26	-0,02	-0,19 %	10,01	10,32	1.457.800
09/12/2013	10,28	-0,08	-0,77 %	10,16	10,40	908.600
06/12/2013	10,36	0,12	1,17 %	10,11	10,42	1.533.000
05/12/2013	10,24	0,14	1,39 %	10,07	10,45	1.347.200
04/12/2013	10,10	0,08	0,80 %	9,99	10,15	1.479.200
