Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
28/02/2014	42,98	-0,78	-1,78 %	42,51	43,97	1.561.900
27/02/2014	43,76	0,26	0,60 %	43,21	44,08	1.058.700
26/02/2014	43,50	1,28	3,03 %	42,99	43,74	1.263.600
25/02/2014	42,22	-0,58	-1,36 %	42,11	42,94	570.200
24/02/2014	42,80	0,00	0,00 %	42,64	43,24	579.400
21/02/2014	42,80	0,20	0,47 %	42,57	43,25	855.900
20/02/2014	42,60	-0,35	-0,81 %	42,31	43,02	959.900
19/02/2014	42,95	-0,38	-0,88 %	42,36	43,84	1.551.600
18/02/2014	43,33	-1,47	-3,28 %	43,33	44,76	1.344.900
17/02/2014	44,80	-0,70	-1,54 %	44,80	45,72	309.900
14/02/2014	45,50	0,29	0,64 %	45,04	45,86	788.000
13/02/2014	45,21	-0,74	-1,61 %	44,78	45,95	967.200
12/02/2014	45,95	0,00	0,00 %	45,61	46,59	1.363.600
11/02/2014	45,95	0,75	1,66 %	45,05	46,37	1.410.400
10/02/2014	45,20	0,60	1,35 %	44,23	45,36	1.839.400
07/02/2014	44,60	0,24	0,54 %	44,01	45,15	1.233.100
06/02/2014	44,36	-0,64	-1,42 %	44,21	45,74	1.837.900
05/02/2014	45,00	0,39	0,87 %	44,06	45,02	1.810.600
04/02/2014	44,61	-0,14	-0,31 %	44,38	45,09	1.239.700
03/02/2014	44,75	-1,12	-2,44 %	44,63	46,35	1.851.400




Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
31/01/2014	45,87	0,37	0,81 %	44,90	46,41	2.070.900
30/01/2014	45,50	0,80	1,79 %	44,07	45,92	2.455.400
29/01/2014	44,70	-1,30	-2,83 %	44,70	45,70	1.336.600
28/01/2014	46,00	0,10	0,22 %	45,63	46,52	2.860.500
27/01/2014	45,90	-0,82	-1,76 %	45,68	46,86	4.842.400
24/01/2014	46,72	-1,03	-2,16 %	46,72	47,77	1.405.900
23/01/2014	47,75	0,25	0,53 %	47,08	48,05	1.557.600
22/01/2014	47,50	0,91	1,95 %	46,44	47,75	1.134.400
21/01/2014	46,59	0,58	1,26 %	45,86	46,79	828.600
20/01/2014	46,01	-0,32	-0,69 %	45,94	46,56	579.700
17/01/2014	46,33	-1,02	-2,15 %	46,30	47,53	845.200
16/01/2014	47,35	0,45	0,96 %	46,90	47,65	789.200
15/01/2014	46,90	0,55	1,19 %	46,12	47,26	1.028.900
14/01/2014	46,35	0,28	0,61 %	45,62	47,12	901.700
13/01/2014	46,07	-0,32	-0,69 %	45,87	46,69	658.900
10/01/2014	46,39	0,49	1,07 %	45,36	46,66	1.160.500
09/01/2014	45,90	-0,15	-0,33 %	45,44	46,30	816.200
08/01/2014	46,05	0,45	0,99 %	45,76	46,53	747.500
07/01/2014	45,60	0,28	0,62 %	45,29	46,00	960.100
06/01/2014	45,32	0,00	0,00 %	44,53	45,55	959.300
03/01/2014	45,32	1,11	2,51 %	44,12	46,00	1.788.500
02/01/2014	44,21	0,08	0,18 %	43,63	44,84	785.600


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume

30/12/2013	44,83	0,84	1,91 %	44,18	45,50	857.000
27/12/2013	43,99	0,36	0,83 %	43,56	44,29	378.200
26/12/2013	43,63	0,13	0,30 %	43,37	44,01	364.300
23/12/2013	43,50	-0,44	-1,00 %	43,31	44,26	742.700
20/12/2013	43,94	0,92	2,14 %	42,80	43,94	1.721.600
19/12/2013	43,02	0,88	2,09 %	42,17	43,05	860.600
18/12/2013	42,14	-0,44	-1,03 %	41,81	42,92	1.393.100
17/12/2013	42,58	-0,26	-0,61 %	42,21	43,14	951.900
16/12/2013	42,84	1,18	2,83 %	41,70	43,16	929.400
13/12/2013	41,66	-0,36	-0,86 %	41,66	42,58	508.100
12/12/2013	42,02	-0,08	-0,19 %	41,91	42,50	835.700
11/12/2013	42,10	-0,70	-1,64 %	42,09	43,14	715.700
10/12/2013	42,80	-0,76	-1,74 %	42,80	44,02	796.500
09/12/2013	43,59	-0,78	-1,76 %	43,54	45,16	698.800
06/12/2013	44,37	0,87	2,00 %	43,57	44,65	1.237.200
05/12/2013	43,50	0,55	1,28 %	42,97	43,77	1.350.300
04/12/2013	42,95	-0,05	-0,12 %	42,80	43,68	1.048.200
