Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
28/02/2014	27,31	-0,12	-0,44 %	27,08	27,80	8.621.800
27/02/2014	27,43	0,68	2,54 %	26,85	27,60	4.500.400
26/02/2014	26,75	-0,20	-0,74 %	26,56	27,13	4.758.200
25/02/2014	26,95	-0,64	-2,32 %	26,77	27,54	5.800.600
24/02/2014	27,59	0,32	1,17 %	27,14	27,77	6.073.200
21/02/2014	27,27	0,56	2,10 %	26,73	27,34	8.596.900
20/02/2014	26,71	-0,24	-0,89 %	26,53	27,29	8.008.300
19/02/2014	26,95	0,55	2,08 %	25,85	26,95	11.869.500
18/02/2014	26,40	-0,12	-0,45 %	26,25	26,79	8.647.400
17/02/2014	26,52	-0,18	-0,67 %	26,52	26,94	3.418.800
14/02/2014	26,70	0,30	1,14 %	26,23	26,76	9.960.300
13/02/2014	26,40	-0,07	-0,26 %	25,94	26,43	8.232.100
12/02/2014	26,47	-0,13	-0,49 %	26,37	26,69	7.067.600
11/02/2014	26,60	0,47	1,80 %	26,05	26,65	11.180.800
10/02/2014	26,35	-0,25	-0,94 %	26,24	26,68	4.114.100
07/02/2014	26,60	0,37	1,41 %	26,01	26,65	8.140.100
06/02/2014	26,23	0,51	1,98 %	25,59	26,44	9.213.000
05/02/2014	25,72	-0,11	-0,43 %	25,37	26,06	8.576.200
04/02/2014	25,83	0,59	2,34 %	25,46	26,10	9.971.100
03/02/2014	25,27	-0,89	-3,40 %	25,02	25,99	11.212.600


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
31/01/2014	26,16	0,44	1,71 %	25,34	26,18	8.341.100
30/01/2014	25,72	-0,16	-0,62 %	25,50	26,27	7.867.300
29/01/2014	25,88	-0,61	-2,30 %	25,74	26,47	8.637.100
28/01/2014	26,49	0,02	0,08 %	26,49	27,05	5.409.200
27/01/2014	26,47	0,13	0,49 %	26,20	26,69	6.750.900
24/01/2014	26,34	-0,53	-1,97 %	26,10	27,02	9.521.000
23/01/2014	26,87	-0,62	-2,26 %	26,87	27,85	9.003.500
22/01/2014	27,49	0,18	0,66 %	27,19	27,77	7.642.000
21/01/2014	27,31	0,31	1,15 %	27,01	27,64	6.633.500
20/01/2014	27,00	-0,16	-0,59 %	26,93	27,28	2.749.800
17/01/2014	27,16	-0,27	-0,98 %	27,03	27,54	5.375.500
16/01/2014	27,43	-0,40	-1,44 %	27,33	28,09	6.477.000
15/01/2014	27,83	0,16	0,58 %	27,64	27,99	4.890.200
14/01/2014	27,67	0,25	0,91 %	27,24	27,75	6.286.700
13/01/2014	27,42	-0,20	-0,72 %	27,21	28,04	5.639.000
10/01/2014	27,62	0,23	0,84 %	27,28	28,04	6.751.900
09/01/2014	27,39	-0,81	-2,87 %	27,25	28,21	8.065.700
08/01/2014	28,20	-0,02	-0,07 %	27,91	28,55	7.255.100
07/01/2014	28,22	-0,63	-2,18 %	28,22	28,93	5.336.700
06/01/2014	28,85	0,35	1,23 %	28,34	28,86	8.180.400
03/01/2014	28,50	-0,42	-1,45 %	28,42	28,93	13.160.000
02/01/2014	28,95	-0,14	-0,48 %	28,76	29,25	6.852.200


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
30/12/2013	29,09	0,21	0,73 %	28,80	29,23	3.115.500
27/12/2013	28,88	0,18	0,63 %	28,63	29,05	3.909.800
26/12/2013	28,70	0,01	0,03 %	28,63	28,95	2.713.100
23/12/2013	29,05	0,17	0,59 %	28,81	29,24	4.437.700
20/12/2013	28,88	-0,46	-1,57 %	28,88	29,34	5.826.500
19/12/2013	29,34	0,50	1,73 %	28,73	29,42	6.751.200
18/12/2013	28,84	0,16	0,56 %	28,62	29,10	8.349.700
17/12/2013	28,68	-0,04	-0,14 %	28,55	28,93	7.929.500
16/12/2013	28,72	0,19	0,67 %	28,38	28,93	8.018.400
13/12/2013	28,53	0,13	0,46 %	28,29	28,73	7.205.100
12/12/2013	28,40	0,24	0,85 %	27,80	28,46	8.871.300
11/12/2013	28,16	-0,63	-2,19 %	28,07	28,86	6.931.300
10/12/2013	28,79	-0,13	-0,45 %	28,73	29,08	5.017.100
09/12/2013	28,87	-0,13	-0,45 %	28,77	29,29	5.999.600
06/12/2013	29,00	-0,02	-0,07 %	28,73	29,35	8.506.400
05/12/2013	29,02	-0,14	-0,48 %	28,80	29,45	10.778.500
04/12/2013	29,16	-0,45	-1,52 %	29,05	29,84	8.349.400
