Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
28/02/2014	20,70	0,41	2,02 %	20,03	20,70	29.629.300
27/02/2014	20,29	0,79	4,05 %	19,69	20,29	10.733.300
26/02/2014	19,50	-0,29	-1,47 %	19,35	19,87	6.757.300
25/02/2014	19,79	0,07	0,35 %	19,55	19,91	4.530.800
24/02/2014	19,72	-0,51	-2,52 %	19,60	20,35	8.656.300
21/02/2014	20,23	-0,22	-1,08 %	20,08	20,48	4.612.800
20/02/2014	20,45	0,80	4,07 %	19,66	20,58	8.919.100
19/02/2014	19,65	-0,23	-1,16 %	19,31	19,87	8.921.600
18/02/2014	19,88	-0,60	-2,93 %	19,88	20,60	6.818.500
17/02/2014	20,48	0,01	0,05 %	20,44	20,70	3.230.900
14/02/2014	20,47	-0,21	-1,02 %	20,45	20,94	6.167.100
13/02/2014	20,82	-1,08	-4,93 %	20,56	21,10	16.879.400
12/02/2014	21,90	0,05	0,23 %	21,89	22,22	4.466.900
11/02/2014	21,85	-0,22	-1,00 %	21,77	22,41	7.949.200
10/02/2014	22,07	0,58	2,70 %	21,21	22,15	5.175.600
07/02/2014	21,49	-0,11	-0,51 %	21,16	21,67	5.473.700
06/02/2014	21,60	0,96	4,65 %	20,63	21,60	5.533.500
05/02/2014	20,64	-0,14	-0,67 %	20,31	20,94	4.306.200
04/02/2014	20,78	0,66	3,28 %	20,28	21,04	6.437.200
03/02/2014	20,12	-0,77	-3,69 %	20,06	20,81	4.915.800


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
31/01/2014	20,89	0,79	3,93 %	19,91	20,89	5.475.300
30/01/2014	20,10	-0,15	-0,74 %	19,96	20,40	6.758.600
29/01/2014	20,25	-0,94	-4,44 %	20,12	21,15	9.175.900
28/01/2014	21,19	-0,24	-1,12 %	21,19	21,89	4.564.100
27/01/2014	21,43	0,26	1,23 %	21,00	21,43	5.258.400
24/01/2014	21,17	-0,34	-1,58 %	21,00	21,64	8.282.500
23/01/2014	21,51	-0,95	-4,23 %	21,51	22,35	9.523.000
22/01/2014	22,46	0,06	0,27 %	22,32	22,64	5.421.800
21/01/2014	22,40	0,10	0,45 %	22,31	22,67	4.532.700
20/01/2014	22,30	-0,10	-0,45 %	22,20	22,42	2.850.300
17/01/2014	22,40	-0,60	-2,61 %	22,25	23,09	6.211.400
16/01/2014	23,00	-0,17	-0,73 %	22,89	23,55	5.367.000
15/01/2014	23,17	-0,25	-1,07 %	23,02	23,55	8.960.000
14/01/2014	23,42	0,72	3,17 %	22,55	23,42	4.836.700
13/01/2014	22,70	-0,25	-1,09 %	22,44	23,11	4.093.700
10/01/2014	22,95	0,80	3,61 %	22,06	22,95	8.090.400
09/01/2014	22,15	-0,86	-3,74 %	22,15	23,05	8.837.500
08/01/2014	23,01	-0,47	-2,00 %	22,97	23,57	6.677.300
07/01/2014	23,48	-0,41	-1,72 %	23,42	24,10	4.570.200
06/01/2014	23,89	-0,29	-1,20 %	23,61	24,05	3.966.600
03/01/2014	24,18	0,18	0,75 %	23,85	24,18	5.046.600
02/01/2014	24,00	-0,40	-1,64 %	24,00	24,48	4.013.400


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
30/12/2013	24,40	0,12	0,49 %	24,21	24,57	3.505.600
27/12/2013	24,28	-0,17	-0,70 %	24,24	24,59	3.074.500
26/12/2013	24,45	-0,07	-0,29 %	24,31	24,67	3.391.400
23/12/2013	24,52	0,02	0,08 %	24,32	24,71	5.076.900
20/12/2013	24,50	0,10	0,41 %	24,13	24,73	13.947.100
19/12/2013	24,40	0,20	0,83 %	23,80	24,58	11.128.000
18/12/2013	24,20	0,14	0,58 %	24,08	24,45	6.170.700
17/12/2013	24,06	0,02	0,08 %	24,04	24,40	4.475.400
16/12/2013	24,04	-0,07	-0,29 %	24,04	24,44	5.272.600
13/12/2013	24,11	0,30	1,26 %	23,90	24,26	5.261.800
12/12/2013	23,81	0,19	0,80 %	23,33	24,03	5.610.100
11/12/2013	23,93	-0,67	-2,72 %	23,88	24,65	5.394.600
10/12/2013	24,60	-0,36	-1,44 %	24,60	25,01	4.197.900
09/12/2013	24,99	0,16	0,64 %	24,59	25,11	3.844.300
06/12/2013	24,83	0,03	0,12 %	24,81	25,48	7.742.900
05/12/2013	24,80	0,89	3,72 %	23,86	24,80	7.413.800
04/12/2013	23,91	-0,48	-1,97 %	23,91	24,75	5.684.500
