Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
28/02/2014	15,95	0,70	4,59 %	15,26	15,95	84.400
27/02/2014	15,25	-0,26	-1,68 %	15,25	15,60	1.200
26/02/2014	15,51	0,01	0,06 %	15,51	15,51	900
25/02/2014	15,50	0,29	1,91 %	15,21	15,50	6.600
24/02/2014	15,21	-0,54	-3,43 %	15,21	15,78	3.200
21/02/2014	15,75	-0,04	-0,25 %	15,69	15,79	16.600
20/02/2014	15,79	0,09	0,57 %	15,70	15,80	300
19/02/2014	15,70	0,09	0,58 %	15,62	15,99	30.000
18/02/2014	15,61	0,01	0,06 %	15,42	15,61	23.800
17/02/2014	15,60	-0,34	-2,13 %	15,60	15,94	36.100
14/02/2014	15,94	-0,21	-1,30 %	15,94	16,15	8.900
13/02/2014	16,15	0,50	3,19 %	16,00	16,49	10.400
12/02/2014	15,65	0,24	1,56 %	15,40	15,65	79.200
11/02/2014	15,41	-0,09	-0,58 %	15,35	15,55	6.900
10/02/2014	15,50	0,24	1,57 %	15,27	15,66	24.900
07/02/2014	15,26	0,00	0,00 %	15,25	15,31	3.300
06/02/2014	15,26	0,11	0,73 %	15,26	15,75	5.100
05/02/2014	15,15	0,14	0,93 %	15,02	15,23	4.700
04/02/2014	15,01	-0,14	-0,92 %	15,01	15,25	5.600
03/02/2014	15,15	-0,22	-1,43 %	15,15	15,39	3.300


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
31/01/2014	15,37	0,28	1,86 %	15,09	15,37	8.500
30/01/2014	15,09	-0,31	-2,01 %	15,08	15,31	8.700
29/01/2014	15,40	0,09	0,59 %	15,30	15,56	16.600
28/01/2014	15,31	-0,09	-0,58 %	15,31	15,77	9.500
27/01/2014	15,40	-0,12	-0,77 %	15,40	15,64	4.600
24/01/2014	15,52	0,02	0,13 %	15,52	15,60	5.700
23/01/2014	15,50	-0,40	-2,52 %	15,50	15,95	3.700
22/01/2014	15,90	0,05	0,32 %	15,80	15,90	1.800
21/01/2014	15,85	0,13	0,83 %	15,70	15,98	6.200
20/01/2014	15,72	0,02	0,13 %	15,64	15,80	19.700
17/01/2014	15,70	-0,16	-1,01 %	15,70	16,04	6.100
16/01/2014	15,86	-0,04	-0,25 %	15,85	16,04	5.000
15/01/2014	15,90	-0,05	-0,31 %	15,85	16,15	2.700
14/01/2014	15,95	0,35	2,24 %	15,60	16,00	1.300
13/01/2014	15,60	-0,21	-1,33 %	15,50	15,85	30.900
10/01/2014	15,81	0,08	0,51 %	15,81	16,01	22.200
09/01/2014	15,73	-0,57	-3,50 %	15,68	16,39	32.500
08/01/2014	16,30	-0,40	-2,40 %	16,30	16,70	12.300
07/01/2014	16,70	-0,04	-0,24 %	16,25	17,00	25.100
06/01/2014	16,74	0,14	0,84 %	16,69	17,08	14.600
03/01/2014	16,60	0,61	3,81 %	15,59	16,60	59.000
02/01/2014	15,99	-1,08	-6,33 %	15,99	17,19	90.000



Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
30/12/2013	18,40	-0,06	-0,33 %	18,40	18,83	82.000
27/12/2013	18,46	-0,20	-1,07 %	18,45	18,81	41.700
26/12/2013	18,66	-0,32	-1,69 %	18,66	19,20	43.800
23/12/2013	18,98	-0,02	-0,11 %	18,98	19,30	42.600
20/12/2013	19,00	-0,18	-0,94 %	19,00	19,31	18.300
19/12/2013	19,18	-0,02	-0,10 %	19,18	19,60	36.400
18/12/2013	19,20	-0,10	-0,52 %	19,15	19,50	28.700
17/12/2013	19,30	-0,11	-0,57 %	19,30	19,65	19.000
16/12/2013	19,41	-0,29	-1,47 %	19,41	19,80	12.100
13/12/2013	19,70	0,30	1,55 %	19,25	19,85	26.100
12/12/2013	19,40	0,67	3,58 %	18,70	19,40	33.600
11/12/2013	18,73	0,08	0,43 %	18,70	18,82	2.600
10/12/2013	18,65	-0,30	-1,58 %	18,65	19,00	7.000
09/12/2013	18,95	-0,15	-0,79 %	18,80	19,01	11.000
06/12/2013	19,10	0,00	0,00 %	19,05	19,35	19.000
05/12/2013	19,10	-0,19	-0,98 %	19,10	19,35	19.500
04/12/2013	19,29	-0,11	-0,57 %	19,20	19,49	16.000
