Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
28/02/2014	50,20	0,00	0,00 %	49,90	50,49	11.500
27/02/2014	50,20	-0,49	-0,97 %	49,78	51,43	45.900
26/02/2014	50,69	0,19	0,38 %	49,82	50,80	23.400
25/02/2014	50,50	-0,50	-0,98 %	50,19	50,57	6.700
24/02/2014	51,00	-0,10	-0,20 %	50,19	52,38	24.400
21/02/2014	51,10	1,15	2,30 %	49,94	51,24	17.400
20/02/2014	49,95	0,55	1,11 %	49,10	50,38	7.700
19/02/2014	49,40	-0,60	-1,20 %	48,55	49,89	57.600
18/02/2014	50,00	0,00	0,00 %	49,51	51,05	14.900
17/02/2014	50,00	-1,00	-1,96 %	50,00	51,54	13.500
14/02/2014	51,00	-0,23	-0,45 %	50,49	52,51	34.800
13/02/2014	51,23	-0,77	-1,48 %	50,52	51,71	37.400
12/02/2014	52,00	-0,80	-1,52 %	51,07	52,91	20.900
11/02/2014	52,80	1,60	3,13 %	51,48	53,10	46.300
10/02/2014	51,20	0,20	0,39 %	50,80	52,00	20.600
07/02/2014	51,00	-0,45	-0,87 %	50,09	51,85	52.300
06/02/2014	51,45	1,25	2,49 %	50,66	51,60	16.100
05/02/2014	50,20	-0,16	-0,32 %	49,60	50,75	311.800
04/02/2014	50,36	-0,98	-1,91 %	49,10	51,70	115.000
03/02/2014	51,34	-0,65	-1,25 %	50,94	52,27	20.600

Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
31/01/2014	51,99	-1,51	-2,82 %	51,24	53,09	136.800
30/01/2014	53,50	0,90	1,71 %	52,50	54,03	50.500
29/01/2014	52,60	-0,80	-1,50 %	52,53	53,00	196.700
28/01/2014	53,40	0,08	0,15 %	52,80	53,98	35.200
27/01/2014	53,32	-0,48	-0,89 %	52,95	53,94	40.800
24/01/2014	53,80	-0,25	-0,46 %	53,36	54,00	7.400
23/01/2014	54,05	-0,85	-1,55 %	53,86	54,51	24.300
22/01/2014	54,90	0,90	1,67 %	53,70	54,90	8.100
21/01/2014	54,00	-0,50	-0,92 %	52,60	54,50	39.400
20/01/2014	54,50	-1,00	-1,80 %	54,31	55,50	47.800
17/01/2014	55,50	-0,80	-1,42 %	55,00	56,14	49.400
16/01/2014	56,30	-0,25	-0,44 %	55,85	56,30	27.200
15/01/2014	56,55	-0,05	-0,09 %	56,10	56,60	14.800
14/01/2014	56,60	0,00	0,00 %	56,38	56,69	94.000
13/01/2014	56,60	0,20	0,35 %	56,33	56,60	2.200
10/01/2014	56,40	0,00	0,00 %	56,01	56,81	13.600
09/01/2014	56,40	-0,61	-1,07 %	54,86	57,00	29.400
08/01/2014	57,01	-0,47	-0,82 %	57,01	57,42	16.500
07/01/2014	57,48	-0,32	-0,55 %	57,30	58,01	10.000
06/01/2014	57,80	-0,20	-0,34 %	57,35	57,84	4.700
03/01/2014	58,00	0,50	0,87 %	57,43	58,00	5.700
02/01/2014	57,50	-0,75	-1,29 %	57,30	58,25	14.600


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
30/12/2013	58,25	-0,10	-0,17 %	57,57	58,89	23.100
27/12/2013	58,35	0,35	0,60 %	57,20	58,35	15.900
26/12/2013	58,00	-0,02	-0,03 %	57,40	58,64	9.600
23/12/2013	58,02	0,71	1,24 %	56,88	58,02	16.700
20/12/2013	57,31	-0,69	-1,19 %	56,75	57,80	110.900
19/12/2013	58,00	1,40	2,47 %	56,85	58,00	66.200
18/12/2013	56,60	-1,40	-2,41 %	56,60	58,19	35.400
17/12/2013	58,00	0,10	0,17 %	57,54	58,20	13.300
16/12/2013	57,90	1,15	2,03 %	56,00	58,00	18.900
13/12/2013	56,75	-0,70	-1,22 %	56,75	57,70	29.200
12/12/2013	57,45	0,19	0,33 %	57,09	58,31	26.300
11/12/2013	58,28	-0,37	-0,63 %	58,04	58,78	78.200
10/12/2013	58,65	0,15	0,26 %	58,01	58,70	28.800
09/12/2013	58,50	-0,75	-1,27 %	58,50	59,22	8.900
06/12/2013	59,25	1,00	1,72 %	58,14	59,25	64.700
05/12/2013	58,25	-0,80	-1,35 %	58,14	59,40	61.000
04/12/2013	59,05	-0,85	-1,42 %	59,00	59,90	150.700
