Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
28/02/2014	98,89	0,14	0,14 %	97,72	99,34	690.400
27/02/2014	98,75	1,57	1,62 %	96,72	99,12	547.400
26/02/2014	97,18	0,68	0,70 %	96,30	97,99	406.900
25/02/2014	96,50	-0,02	-0,02 %	95,39	97,40	478.700
24/02/2014	96,52	-0,88	-0,90 %	96,52	98,00	446.700
21/02/2014	97,40	0,90	0,93 %	95,70	97,99	649.800
20/02/2014	96,50	0,87	0,91 %	94,82	97,20	648.000
19/02/2014	95,63	1,13	1,20 %	93,22	96,15	500.700
18/02/2014	94,50	-1,00	-1,05 %	94,50	97,67	643.100
17/02/2014	95,50	-2,20	-2,25 %	95,40	98,07	226.900
14/02/2014	97,70	2,20	2,30 %	97,00	98,30	705.600
13/02/2014	95,50	0,00	0,00 %	93,89	95,84	554.000
12/02/2014	95,50	0,35	0,37 %	94,91	96,38	501.000
11/02/2014	95,15	1,25	1,33 %	93,21	95,55	510.000
10/02/2014	93,90	0,15	0,16 %	93,00	94,62	611.200
07/02/2014	93,75	0,05	0,05 %	92,46	94,32	871.800
06/02/2014	93,70	1,40	1,52 %	92,52	94,14	1.050.600
05/02/2014	92,30	-1,00	-1,07 %	91,52	93,75	644.000
04/02/2014	93,30	0,80	0,86 %	92,51	93,59	591.700
03/02/2014	92,50	-0,90	-0,96 %	92,50	93,79	726.300


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
31/01/2014	93,40	-1,34	-1,41 %	93,40	94,87	915.200
30/01/2014	94,74	1,39	1,49 %	92,77	95,85	653.800
29/01/2014	93,35	-2,25	-2,35 %	93,35	95,73	870.400
28/01/2014	95,60	-0,40	-0,42 %	95,57	97,99	936.400
27/01/2014	96,00	0,18	0,19 %	94,95	97,06	472.400
24/01/2014	95,82	-0,98	-1,01 %	95,16	97,30	774.000
23/01/2014	96,80	-0,30	-0,31 %	96,80	99,95	944.000
22/01/2014	97,10	3,20	3,41 %	94,21	97,37	810.100
21/01/2014	93,90	-0,60	-0,63 %	93,64	95,19	745.400
20/01/2014	94,50	-0,91	-0,95 %	94,50	95,85	457.800
17/01/2014	95,41	-2,59	-2,64 %	95,41	98,50	545.000
16/01/2014	98,00	-1,00	-1,01 %	98,00	99,69	357.900
15/01/2014	99,00	0,78	0,79 %	97,81	99,98	371.700
14/01/2014	98,22	1,11	1,14 %	96,78	99,05	516.000
13/01/2014	97,11	0,97	1,01 %	96,71	98,40	614.600
10/01/2014	96,14	-0,42	-0,43 %	96,14	98,00	470.900
09/01/2014	96,56	-2,95	-2,96 %	96,56	100,05	737.900
08/01/2014	99,51	-0,41	-0,41 %	99,51	100,50	698.700
07/01/2014	99,92	-0,26	-0,26 %	99,72	102,17	562.100
06/01/2014	100,18	-1,32	-1,30 %	100,04	102,73	610.500
03/01/2014	101,50	-2,15	-2,07 %	101,50	104,31	1.327.000
02/01/2014	103,65	-1,26	-1,20 %	103,09	105,41	1.102.200



Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
30/12/2013	104,91	0,65	0,62 %	104,67	106,70	360.200
27/12/2013	104,26	0,16	0,15 %	103,95	104,88	541.300
26/12/2013	104,10	0,10	0,10 %	103,79	105,15	1.095.600
23/12/2013	104,00	1,17	1,14 %	103,16	104,90	535.000
20/12/2013	102,83	0,39	0,38 %	102,50	103,74	467.700
19/12/2013	102,44	0,84	0,83 %	101,88	103,47	431.100
18/12/2013	101,60	0,10	0,10 %	100,94	102,63	1.011.300
17/12/2013	101,50	-1,49	-1,45 %	101,41	102,94	672.600
16/12/2013	102,99	2,44	2,43 %	100,85	102,99	846.800
13/12/2013	100,55	0,25	0,25 %	100,55	103,18	1.072.900
12/12/2013	100,30	-2,71	-2,63 %	99,68	103,80	1.237.900
11/12/2013	103,01	0,78	0,76 %	101,51	103,87	1.048.800
10/12/2013	102,23	0,52	0,51 %	101,58	102,64	706.300
09/12/2013	101,71	-0,92	-0,90 %	101,02	103,50	393.700
06/12/2013	102,63	-0,52	-0,50 %	102,61	104,24	431.500
05/12/2013	103,15	0,15	0,15 %	102,17	105,21	494.400
04/12/2013	103,00	-0,95	-0,91 %	102,90	105,09	886.500
