
Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
28/02/2014	13,59	-0,45	-3,21 %	13,59	14,15	27.671.000
27/02/2014	14,04	0,36	2,63 %	13,65	14,09	23.249.100
26/02/2014	13,68	-0,50	-3,53 %	13,68	14,25	44.499.100
25/02/2014	14,18	-0,32	-2,21 %	14,12	14,67	35.483.800
24/02/2014	14,50	0,35	2,47 %	14,01	14,57	20.869.400
21/02/2014	14,15	-0,01	-0,07 %	14,07	14,32	18.578.600
20/02/2014	14,16	-0,04	-0,28 %	13,98	14,34	23.904.700
19/02/2014	14,20	0,09	0,64 %	13,88	14,20	28.137.400
18/02/2014	14,11	-0,32	-2,22 %	14,11	14,58	30.703.200
17/02/2014	14,43	-0,15	-1,03 %	14,33	14,70	12.592.700
14/02/2014	14,58	-0,03	-0,21 %	14,47	14,71	26.187.900
13/02/2014	14,61	-0,35	-2,34 %	14,44	14,83	27.734.600
12/02/2014	14,96	0,00	0,00 %	14,85	15,10	23.122.000
11/02/2014	14,96	0,35	2,40 %	14,64	15,07	28.798.500
10/02/2014	14,61	0,16	1,11 %	14,33	14,70	28.697.400
07/02/2014	14,45	0,24	1,69 %	14,16	14,55	33.879.300
06/02/2014	14,21	0,38	2,75 %	13,92	14,36	31.670.700
05/02/2014	13,83	-0,26	-1,85 %	13,56	14,28	38.798.000
04/02/2014	14,09	0,24	1,73 %	13,77	14,22	35.916.200
03/02/2014	13,85	-0,85	-5,78 %	13,84	14,63	50.958.800


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
31/01/2014	14,70	0,00	0,00 %	14,55	15,07	48.579.400
30/01/2014	14,70	-0,10	-0,68 %	14,63	15,10	25.259.300
29/01/2014	14,80	-0,25	-1,66 %	14,77	15,14	24.949.100
28/01/2014	15,05	-0,06	-0,40 %	15,02	15,44	21.999.800
27/01/2014	15,11	0,01	0,07 %	15,04	15,29	20.510.700
24/01/2014	15,10	-0,37	-2,39 %	14,98	15,44	27.702.300
23/01/2014	15,47	-0,37	-2,34 %	15,47	15,91	23.892.300
22/01/2014	15,84	0,50	3,26 %	15,27	15,87	44.039.500
21/01/2014	15,34	0,16	1,05 %	15,20	15,50	19.832.600
20/01/2014	15,18	-0,33	-2,13 %	15,15	15,61	17.587.800
17/01/2014	15,51	-0,08	-0,51 %	15,45	15,77	22.461.300
16/01/2014	15,59	-0,45	-2,81 %	15,57	16,19	32.579.400
15/01/2014	16,04	0,34	2,17 %	15,69	16,15	25.483.600
14/01/2014	15,70	-0,07	-0,44 %	15,62	15,87	16.146.800
13/01/2014	15,77	-0,20	-1,25 %	15,66	16,11	21.191.900
10/01/2014	15,97	0,27	1,72 %	15,66	16,30	29.959.900
09/01/2014	15,70	-0,49	-3,03 %	15,65	16,29	25.579.200
08/01/2014	16,19	0,03	0,19 %	16,15	16,39	15.558.400
07/01/2014	16,16	-0,46	-2,77 %	16,16	16,83	18.785.300
06/01/2014	16,62	0,20	1,22 %	16,16	16,64	20.474.600
03/01/2014	16,42	-0,33	-1,97 %	16,42	16,78	17.598.400
02/01/2014	16,75	-0,33	-1,93 %	16,65	17,20	17.111.300


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
30/12/2013	17,08	0,15	0,89 %	16,95	17,25	10.501.500
27/12/2013	16,93	0,01	0,06 %	16,82	17,02	14.975.500
26/12/2013	16,92	-0,14	-0,82 %	16,89	17,19	15.111.500
23/12/2013	17,06	0,15	0,89 %	16,87	17,17	11.473.400
20/12/2013	16,91	-0,34	-1,97 %	16,80	17,29	26.503.700
19/12/2013	17,25	0,41	2,43 %	16,87	17,29	17.608.900
18/12/2013	16,84	0,04	0,24 %	16,83	17,04	22.078.700
17/12/2013	16,80	-0,54	-3,11 %	16,80	17,35	28.603.800
16/12/2013	17,34	0,31	1,82 %	17,08	17,50	32.273.600
13/12/2013	17,03	0,17	1,01 %	16,91	17,15	27.412.800
12/12/2013	16,86	0,08	0,48 %	16,69	17,02	21.789.400
11/12/2013	16,78	-0,52	-3,01 %	16,78	17,34	21.214.500
10/12/2013	17,30	0,05	0,29 %	17,26	17,46	14.475.000
09/12/2013	17,20	-0,03	-0,17 %	17,12	17,47	13.696.400
06/12/2013	17,23	-0,40	-2,27 %	17,18	17,78	32.235.900
05/12/2013	17,63	0,23	1,32 %	17,46	17,83	25.200.600
04/12/2013	17,40	-0,11	-0,63 %	17,37	17,76	27.165.000
