Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
28/02/2014	29,09	-0,22	-0,75 %	28,83	29,45	17.238.400
27/02/2014	29,31	0,29	1,00 %	29,31	29,81	14.545.200
26/02/2014	29,02	0,02	0,07 %	28,71	29,31	14.966.700
25/02/2014	29,00	-0,76	-2,55 %	28,87	29,36	13.944.600
24/02/2014	29,76	-0,85	-2,78 %	29,72	30,55	12.763.000
21/02/2014	30,61	0,02	0,07 %	30,37	30,74	8.968.300
20/02/2014	30,59	-0,31	-1,00 %	30,43	30,77	13.061.800
19/02/2014	30,90	0,30	0,98 %	30,41	31,02	13.768.300
18/02/2014	30,60	-0,14	-0,46 %	30,52	31,11	14.025.100
17/02/2014	30,74	-0,22	-0,71 %	30,64	31,20	7.734.900
14/02/2014	30,96	0,20	0,65 %	30,61	31,05	12.076.300
13/02/2014	30,76	-0,03	-0,10 %	30,20	30,79	11.175.700
12/02/2014	30,79	0,02	0,06 %	30,65	31,07	12.619.100
11/02/2014	30,77	0,33	1,08 %	30,37	30,98	14.355.700
10/02/2014	30,44	-0,22	-0,72 %	30,19	30,77	10.753.100
07/02/2014	30,66	-0,14	-0,45 %	30,30	31,11	16.744.000
06/02/2014	30,80	0,86	2,87 %	30,26	31,25	23.769.700
05/02/2014	29,94	0,36	1,22 %	29,50	30,13	18.113.800
04/02/2014	29,58	0,48	1,65 %	29,08	29,75	12.105.100
03/02/2014	29,10	-0,90	-3,00 %	29,03	29,95	11.821.800



Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
31/01/2014	30,00	0,24	0,81 %	29,26	30,00	14.926.700
30/01/2014	29,76	-0,20	-0,67 %	29,49	30,29	17.622.300
29/01/2014	29,96	1,08	3,74 %	28,70	30,05	25.195.700
28/01/2014	28,88	0,34	1,19 %	28,86	29,16	12.943.100
27/01/2014	28,54	-0,09	-0,31 %	28,23	28,86	13.446.000
24/01/2014	28,63	0,48	1,71 %	27,87	28,74	24.595.700
23/01/2014	28,15	-0,76	-2,63 %	28,13	28,93	22.186.500
22/01/2014	28,91	0,43	1,51 %	28,58	29,15	17.264.100
21/01/2014	28,48	-0,69	-2,37 %	28,42	29,47	23.283.300
20/01/2014	29,17	-0,85	-2,83 %	29,17	30,09	11.279.700
17/01/2014	30,02	-0,27	-0,89 %	29,88	30,50	14.166.000
16/01/2014	30,29	0,06	0,20 %	30,13	30,87	19.563.000
15/01/2014	30,23	0,43	1,44 %	29,74	30,23	12.775.100
14/01/2014	29,80	0,00	0,00 %	29,52	29,94	15.352.900
13/01/2014	29,80	-0,29	-0,96 %	29,62	30,32	13.541.100
10/01/2014	30,09	0,16	0,53 %	29,90	30,52	19.842.000
09/01/2014	29,93	-1,15	-3,70 %	29,82	31,12	22.981.200
08/01/2014	31,08	0,18	0,58 %	30,96	31,38	13.992.900
07/01/2014	30,90	-0,68	-2,15 %	30,90	31,79	14.141.900
06/01/2014	31,58	0,16	0,51 %	31,00	31,58	12.036.800
03/01/2014	31,42	-0,50	-1,57 %	31,32	31,92	13.990.100
02/01/2014	31,92	-0,81	-2,47 %	31,66	32,88	13.938.000


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
30/12/2013	32,73	0,32	0,99 %	32,40	33,02	9.420.100
27/12/2013	32,41	0,51	1,60 %	31,99	32,52	8.409.500
26/12/2013	31,90	0,10	0,31 %	31,85	32,02	5.171.300
23/12/2013	31,80	-0,08	-0,25 %	31,78	32,07	8.195.100
20/12/2013	31,88	-0,47	-1,45 %	31,64	32,35	14.118.700
19/12/2013	32,35	0,46	1,44 %	31,91	32,35	13.389.700
18/12/2013	31,89	0,15	0,47 %	31,64	32,05	15.502.100
17/12/2013	31,74	-0,05	-0,16 %	31,66	32,20	10.228.200
16/12/2013	31,79	-0,09	-0,28 %	31,77	32,13	13.482.700
13/12/2013	31,88	-0,07	-0,22 %	31,53	32,11	11.173.400
12/12/2013	31,95	-0,25	-0,78 %	31,80	32,37	15.666.000
11/12/2013	32,20	-0,65	-1,98 %	32,20	33,00	13.016.200
10/12/2013	32,85	-0,28	-0,85 %	32,84	33,33	8.209.400
09/12/2013	33,13	0,18	0,55 %	32,96	33,19	7.296.800
06/12/2013	32,95	0,10	0,30 %	32,78	33,27	14.953.600
05/12/2013	32,85	0,46	1,42 %	32,39	33,15	16.815.100
04/12/2013	32,39	0,18	0,56 %	32,14	32,63	10.389.200
