Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
28/02/2014	17,40	0,52	3,08 %	16,79	17,40	554.200
27/02/2014	16,88	0,38	2,30 %	16,47	16,97	411.800
26/02/2014	16,50	-0,18	-1,08 %	16,40	16,89	616.700
25/02/2014	16,68	-0,18	-1,07 %	16,63	17,00	233.700
24/02/2014	16,86	-0,04	-0,24 %	16,62	17,00	332.800
21/02/2014	16,90	-0,35	-2,03 %	16,85	17,32	536.000
20/02/2014	17,25	0,57	3,42 %	16,58	17,25	541.100
19/02/2014	16,68	0,56	3,47 %	16,10	16,97	1.003.400
18/02/2014	16,12	-0,95	-5,57 %	16,12	17,13	1.324.500
17/02/2014	17,07	-0,51	-2,90 %	17,03	17,67	497.700
14/02/2014	17,58	-0,03	-0,17 %	17,51	17,89	918.000
13/02/2014	17,61	0,01	0,06 %	17,26	17,74	1.154.100
12/02/2014	17,60	0,29	1,68 %	17,28	17,62	900.300
11/02/2014	17,31	-0,02	-0,12 %	17,31	17,51	798.200
10/02/2014	17,33	-0,23	-1,31 %	17,33	17,73	636.400
07/02/2014	17,56	-0,18	-1,01 %	17,56	18,05	1.224.400
06/02/2014	17,74	0,04	0,23 %	17,66	17,93	676.700
05/02/2014	17,70	-0,28	-1,56 %	17,60	18,06	499.100
04/02/2014	17,98	-0,47	-2,55 %	17,98	18,58	672.000
03/02/2014	18,45	-0,43	-2,28 %	18,45	18,94	412.400


Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
31/01/2014	18,88	0,73	4,02 %	18,10	18,92	936.400
30/01/2014	18,15	-0,05	-0,27 %	18,15	18,48	449.100
29/01/2014	18,20	0,08	0,44 %	18,03	18,37	363.900
28/01/2014	18,12	0,12	0,67 %	18,01	18,50	498.400
27/01/2014	18,00	-0,17	-0,94 %	17,91	18,34	564.000
24/01/2014	18,17	-0,28	-1,52 %	18,17	18,65	1.137.200
23/01/2014	18,45	-0,35	-1,86 %	18,45	18,94	420.600
22/01/2014	18,80	0,29	1,57 %	18,48	18,96	813.500
21/01/2014	18,51	-0,17	-0,91 %	18,47	18,79	700.400
20/01/2014	18,68	-0,15	-0,80 %	18,65	18,88	184.800
17/01/2014	18,83	-0,24	-1,26 %	18,72	19,13	477.400
16/01/2014	19,07	0,31	1,65 %	18,77	19,39	573.500
15/01/2014	18,76	0,10	0,54 %	18,67	19,05	552.100
14/01/2014	18,66	0,09	0,48 %	18,47	18,82	439.600
13/01/2014	18,57	-0,27	-1,43 %	18,56	18,98	438.700
10/01/2014	18,84	-0,12	-0,63 %	18,78	19,00	883.900
09/01/2014	18,96	0,17	0,90 %	18,54	19,04	530.500
08/01/2014	18,79	-0,21	-1,11 %	18,79	19,21	313.600
07/01/2014	19,00	-0,26	-1,35 %	19,00	19,49	479.100
06/01/2014	19,26	0,20	1,05 %	19,08	19,45	676.700



Data	Cotação	Variação	% Variação	Mínimo	Máximo	Volume
03/01/2014	19,06	-0,13	-0,68 %	19,06	19,39	373.000
02/01/2014	19,19	0,10	0,52 %	18,96	19,45	712.400
30/12/2013	19,09	0,08	0,42 %	19,01	19,42	608.900
27/12/2013	19,01	0,11	0,58 %	18,80	19,10	336.900
26/12/2013	18,90	-0,42	-2,17 %	18,89	19,42	263.400
23/12/2013	19,32	-0,48	-2,42 %	19,31	19,79	433.600
20/12/2013	19,80	0,84	4,43 %	18,88	19,80	823.500
19/12/2013	18,96	0,16	0,85 %	18,76	19,00	534.900
18/12/2013	18,80	0,10	0,53 %	18,72	18,96	807.100
17/12/2013	18,70	0,06	0,32 %	18,44	18,79	642.300
16/12/2013	18,64	-0,16	-0,85 %	18,46	18,93	728.900
13/12/2013	18,80	-0,03	-0,16 %	18,77	18,96	664.300
12/12/2013	18,83	-0,25	-1,31 %	18,80	19,10	593.000
11/12/2013	19,08	-0,14	-0,73 %	19,03	19,36	662.100
10/12/2013	19,29	-0,04	-0,21 %	18,96	19,41	517.900
09/12/2013	19,33	-0,09	-0,46 %	19,30	19,47	549.100
06/12/2013	19,42	0,12	0,62 %	19,31	19,51	276.800
05/12/2013	19,30	0,10	0,52 %	19,17	19,62	370.300
04/12/2013	19,20	-0,04	-0,21 %	19,12	19,49	558.600
